X,Y,Z
-913,771,1040
-926,763,1040
-921,768,1035
-936,778,1056
-901,771,1042
-898,781,1042
-888,773,1063
-886,796,1071
-866,796,1071
-861,798,1073
-830,815,1071
-817,825,1061
-822,832,1068
-805,827,1081
-840,806,1061
-805,815,1071
-800,808,1076
-805,815,1068
-790,820,1071
-812,822,1068
-800,817,1081
-787,825,1066
-792,827,1071
-792,852,1081
-802,832,1078
-805,811,1058
-800,835,1096
-842,808,1063
-837,822,1056
-853,813,1061
-858,808,1045
-876,815,1035
-903,813,1032
-928,803,1010
-903,788,1050
-873,791,1045
-878,801,1037
-851,788,1056
-853,783,1035
-876,796,1037
-876,803,1047
-858,813,1061
-856,801,1045
-840,811,1071
-863,806,1058
-861,791,1068
-851,786,1076
-830,791,1086
-856,786,1066
-861,793,1073
-853,788,1081
-856,778,1071
-848,791,1078
-851,778,1081
-840,783,1081
-830,776,1083
-840,808,1071
-842,773,1052
-827,793,1068
-843,786,1073
-856,781,1073
-835,801,1073
-835,778,1061
-812,811,1103
-817,791,1093
-835,783,1073
-807,783,1093
-795,778,1098
-792,781,1101
-782,778,1131
-772,776,1133
-750,752,1145
-701,756,1165
-708,763,1150
-683,752,1165
-671,750,1152
-636,756,1200
-653,747,1200
-607,766,1212
-582,750,1205
-565,745,1233
-550,740,1226
-540,737,1236
-501,750,1236
-483,756,1243
-483,756,1238
-456,766,1261
-433,758,1268
-448,756,1273
-428,750,1258
-415,742,1266
-387,742,1268
-362,742,1271
-360,735,1271
-350,737,1271
-332,727,1273
-313,737,1261
-316,753,1276
-325,717,1283
-291,745,1283
-276,730,1276
-271,727,1283
-263,735,1300
-251,725,1300
-241,745,1291
-221,750,1283
-228,732,1276
-205,735,1286
-200,722,1283
-200,737,1300
-165,735,1288
-145,742,1263
-115,753,1296
-122,720,1251
-91,758,1276
-117,727,1253
-58,758,1266
-76,745,1258
-68,732,1248
-43,753,1261
-28,742,1243
-3,756,1243
-1,750,1248
3,758,1256
21,756,1256
33,752,1246
48,763,1241
73,763,1236
101,771,1238
127,778,1241
132,776,1202
140,761,1197
170,761,1180
167,753,1175
177,758,1187
180,753,1185
241,786,1177
218,763,1155
228,766,1175
241,781,1187
228,778,1190
253,773,1160
273,768,1165
281,768,1152
251,771,1137
293,778,1157
316,778,1137
342,781,1126
362,786,1106
372,793,1113
400,783,1093
400,793,1093
428,788,1063
420,783,1045
433,783,1032
433,761,1030
478,796,1050
458,808,1015
478,793,1010
491,788,1002
513,808,1042
508,768,992
527,803,995
530,783,977
540,783,975
562,786,961
567,793,953
582,788,953
585,786,946
595,783,916
590,776,918
602,761,911
612,776,896
622,783,870
646,778,857
658,783,855
676,783,870
673,781,840
683,773,845
671,783,822
701,771,815
728,786,815
728,781,798
723,761,768
742,768,761
760,778,746
765,768,717
770,758,710
795,758,670
790,752,650
820,742,618
797,747,606
843,756,586
861,773,576
858,761,535
856,756,522
863,758,507
861,750,495
866,752,466
898,761,471
888,750,426
901,747,423
913,763,397
896,732,375
906,750,370
898,720,330
908,727,325
881,730,283
908,750,278
923,740,273
923,750,237
928,732,202
926,720,185
941,725,170
936,720,165
918,710,133
933,722,126
928,705,83
913,712,88
918,700,45
921,705,20
911,705,2
906,702,-2
888,695,-25
893,707,-45
898,717,-47
878,697,-81
858,686,-111
835,668,-131
871,686,-141
906,697,-151
861,686,-175
846,683,-202
848,681,-222
871,688,-212
842,690,-246
837,690,-258
820,666,-266
807,681,-296
802,651,-330
797,668,-330
775,676,-335
762,666,-357
767,666,-380
760,661,-345
780,653,-370
797,663,-362
777,643,-377
782,641,-385
723,607,-416
782,627,-408
765,627,-416
767,622,-423
750,602,-428
747,595,-446
740,615,-426
752,600,-433
742,605,-456
736,600,-436
737,605,-443
723,605,-451
747,612,-448
716,610,-451
691,592,-492
698,600,-476
678,610,-481
711,607,-468
726,615,-478
691,605,-502
703,620,-487
688,595,-507
718,610,-487
688,610,-530
678,600,-515
651,592,-547
668,617,-545
641,628,-540
666,658,-550
646,641,-547
597,638,-583
590,641,-608
532,617,-628
557,653,-603
547,651,-628
526,656,-650
501,658,-652
466,653,-670
496,676,-685
458,671,-710
405,663,-733
385,658,-751
375,646,-766
335,638,-778
340,633,-806
316,622,-812
303,625,-812
288,607,-830
273,597,-827
261,595,-845
263,580,-842
228,575,-857
221,556,-862
172,541,-862
223,556,-852
200,553,-867
157,548,-885
157,551,-880
107,548,-877
145,528,-921
140,541,-898
132,506,-923
96,521,-933
93,516,-928
93,506,-941
51,495,-943
36,497,-951
16,492,-951
13,497,-946
-16,495,-943
-31,497,-948
-41,492,-971
-63,485,-971
-51,500,-943
-86,492,-946
-66,485,-946
-88,501,-958
-112,492,-980
-115,495,-956
-140,503,-968
-130,495,-975
-157,506,-961
-182,497,-977
-170,536,-953
-202,511,-968
-190,533,-956
-210,501,-982
-218,533,-977
-251,533,-958
-258,538,-956
-281,553,-968
-316,541,-968
-308,536,-951
-330,548,-948
-330,577,-918
-377,570,-901
-397,553,-951
-392,577,-941
-423,590,-926
-461,610,-903
-473,612,-916
-481,622,-911
-493,636,-918
-518,633,-903
-523,648,-877
-545,658,-875
-557,671,-860
-580,676,-862
-580,697,-842
-622,697,-837
-632,700,-827
-648,692,-803
-633,717,-808
-641,710,-820
-646,725,-783
-663,725,-776
-678,730,-746
-676,722,-798
-681,745,-801
-686,742,-753
-691,740,-773
-701,740,-776
-701,750,-761
-698,730,-788
-716,727,-781
-708,752,-761
-721,727,-786
-742,735,-793
-726,727,-783
-742,710,-786
-745,750,-738
-760,735,-751
-775,725,-727
-750,725,-748
-747,727,-773
-750,725,-768
-760,727,-766
-747,722,-763
-745,720,-768
-747,697,-793
-713,745,-753
-723,720,-786
-728,720,-781
-733,727,-781
-721,717,-766
-755,690,-803
-731,707,-791
-745,692,-783
-755,695,-776
-780,666,-781
-752,690,-768
-775,688,-756
-772,678,-761
-792,681,-751
-765,700,-761
-765,710,-776
-775,700,-751
-790,702,-756
-792,717,-748
-782,735,-758
-765,727,-758
-765,715,-763
-807,710,-768
-797,712,-753
-782,722,-756
-782,707,-746
-800,700,-763
-802,692,-758
-790,697,-758
-810,683,-751
-770,710,-751
-777,722,-738
-772,715,-736
-790,730,-727
-795,725,-707
-772,753,-743
-775,747,-741
-770,730,-743
-772,750,-736
-775,745,-751
-767,742,-731
-762,750,-738
-760,761,-741
-762,771,-748
-767,766,-733
-775,753,-722
-765,771,-725
-767,766,-720
-775,778,-705
-780,783,-702
-775,798,-675
-767,786,-697
-731,806,-712
-723,801,-710
-728,811,-715
-737,796,-677
-686,808,-720
-681,820,-733
-698,796,-725
-658,820,-720
-663,820,-738
-646,803,-725
-638,825,-746
-627,817,-722
-597,827,-733
-597,796,-768
-570,796,-756
-560,801,-756
-550,803,-776
-526,798,-763
-530,786,-776
-523,783,-771
-503,766,-817
-498,776,-820
-473,773,-783
-488,766,-801
-491,752,-820
-501,742,-840
-473,747,-827
-478,745,-827
-451,756,-815
-458,730,-825
-476,727,-835
-458,727,-806
-451,722,-840
-446,722,-827
-448,717,-832
-428,727,-820
-426,715,-822
-417,712,-832
-428,697,-840
-417,717,-835
-415,717,-812
-375,722,-850
-375,707,-862
-357,710,-840
-375,710,-832
-347,707,-850
-337,702,-850
-325,683,-875
-286,705,-852
-278,695,-850
-268,690,-867
-256,695,-860
-278,690,-850
-243,710,-827
-233,705,-837
-228,710,-847
-210,730,-825
-216,676,-880
-175,715,-857
-192,702,-862
-177,705,-847
-167,707,-852
-162,692,-857
-167,700,-867
-165,710,-845
-167,707,-847
-157,695,-865
-160,688,-865
-140,705,-845
-155,676,-872
-110,707,-837
-127,673,-865
-127,678,-862
-81,690,-827
-81,678,-862
-88,668,-842
-73,641,-857
-76,661,-847
-51,678,-860
-68,651,-890
-46,658,-857
-38,673,-855
-46,651,-870
